,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,1665455905,-21.2,-175.2,78.96,69,40,25.32
1,Ribeira Grande,PT,1665456159,38.5167,-28.7,68.77,88,7,1.99
2,Mataura,NZ,1665456159,-46.1927,168.8643,52.03,51,98,8.08
3,Port Alfred,ZA,1665456160,-33.5906,26.891,73.18,72,98,1.01
4,San Cristobal,VE,1665455874,7.7669,-72.225,71.78,92,97,2.33
5,Marquard,ZA,1665456160,-28.6645,27.4305,64.96,49,100,13.0
6,Dawson Creek,CA,1665456160,55.7666,-120.2362,47.84,40,0,9.22
7,Saint-Pierre,RE,1665456161,-21.3393,55.4781,67.68,68,75,4.61
8,Ushuaia,AR,1665456161,-54.8,-68.3,40.66,81,0,4.61
9,Pevek,RU,1665456162,69.7008,170.3133,26.11,72,100,26.96
10,Punta Arenas,CL,1665456162,-53.15,-70.9167,41.11,81,0,6.91
11,Cape Town,ZA,1665455911,-33.9258,18.4232,61.79,73,0,13.8
12,Chokurdakh,RU,1665456162,70.6333,147.9167,19.67,81,91,16.82
13,Kannur,IN,1665456163,11.8675,75.3576,79.14,79,100,2.59
14,Faanui,PF,1665456163,-16.4833,-151.75,78.26,75,14,14.0
15,Antalaha,MG,1665456164,-14.9003,50.2788,66.15,80,28,6.49
16,Dingle,PH,1665456164,10.9995,122.6711,86.45,68,28,3.78
17,Vila Franca do Campo,PT,1665456164,37.7167,-25.4333,72.19,89,61,5.5
18,Rikitea,PF,1665456165,-23.1203,-134.9692,71.96,73,65,2.98
19,Nanortalik,GL,1665456165,60.1432,-45.2371,37.4,92,100,4.72
20,Hermanus,ZA,1665456166,-34.4187,19.2345,63.88,78,100,20.13
21,Torbay,CA,1665456166,47.6666,-52.7314,44.22,81,40,11.5
22,Esso,RU,1665456166,55.9333,158.7,36.52,79,92,4.18
23,Klyuchi,RU,1665456167,52.2667,79.1667,46.72,59,50,12.57
24,Qaanaaq,GL,1665456167,77.484,-69.3632,4.84,60,82,8.1
25,Puerto Ayora,EC,1665456167,-0.7393,-90.3518,66.54,89,93,3.0
26,Kjøllefjord,NO,1665456168,70.9457,27.3465,42.62,87,75,11.5
27,Albany,US,1665456035,42.6001,-73.9662,44.1,93,8,3.44
28,Roald,NO,1665456168,62.5833,6.1333,46.29,76,40,17.27
29,Chui,UY,1665456169,-33.6971,-53.4616,49.05,80,27,6.13
30,Mahébourg,MU,1665456169,-20.4081,57.7,70.09,78,40,9.22
31,Iquique,CL,1665456137,-20.2208,-70.1431,60.84,77,36,3.91
32,Saldanha,ZA,1665456170,-33.0117,17.9442,57.25,95,100,10.27
33,Ancud,CL,1665456170,-41.8697,-73.8203,45.99,85,100,4.03
34,Nikolskoye,RU,1665456170,59.7035,30.7861,44.19,86,6,7.94
35,Maceió,BR,1665456030,-9.6658,-35.7353,78.24,83,75,12.66
36,Ponta do Sol,PT,1665456171,32.6667,-17.1,70.54,71,10,6.98
37,Hong Kong,HK,1665456171,22.2855,114.1577,77.14,47,30,11.99
38,Ixtapa,MX,1665456172,20.7,-105.2,85.23,74,0,0.0
39,Mount Isa,AU,1665456172,-20.7333,139.5,91.17,15,3,6.91
40,Balkhash,KZ,1665456172,46.844,74.9804,38.01,70,0,11.18
41,Sola,VU,1665456173,-13.8833,167.55,80.17,70,36,1.48
42,Busselton,AU,1665456173,-33.65,115.3333,56.8,57,99,12.5
43,Vao,NC,1665456173,-22.6667,167.4833,72.64,65,56,14.81
44,Lalín,ES,1665456174,42.7167,-8.1167,51.85,97,40,2.89
45,Harper,LR,1665456174,4.375,-7.7169,75.42,90,83,3.29
46,Bathsheba,BB,1665456174,13.2167,-59.5167,83.01,83,40,16.11
47,Leh,IN,1665456175,34.1667,77.5833,42.53,48,100,4.07
48,Garden City,US,1665456175,42.3256,-83.331,52.57,79,40,3.44
49,Rockland,US,1665456176,41.1668,-74.0496,49.15,84,7,3.06
50,Khatanga,RU,1665456176,71.9667,102.5,10.85,95,91,3.27
51,Saint Paul Harbor,US,1665456176,57.79,-152.4072,54.91,62,100,3.44
52,Nishihara,JP,1665456177,26.1842,127.7558,74.71,67,75,21.85
